[7l----system---- ----total-cpu-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai hiq siq| used  buff  cach  free| read  writ
25-06 20:18:04|  0   0  99   0   0   0| 323M 44.2M 1048M  589M|  18k   11k
25-06 20:18:05|  0   0 100   0   0   0| 323M 44.2M 1048M  589M|   0    76k
25-06 20:18:06|  0   0 100   0   0   0| 323M 44.2M 1048M  589M|   0     0 
25-06 20:18:07|  0   0 100   0   0   0| 323M 44.2M 1048M  589M|   0     0 
25-06 20:18:08|  0   0 100   0   0   0| 323M 44.2M 1048M  589M|   0     0 
25-06 20:18:09|  0   0 100   0   0   0| 323M 44.2M 1048M  589M|   0  4096B
25-06 20:18:10|  0   0 100   0   0   0| 323M 44.2M 1048M  589M|   0    44k
25-06 20:18:11|  0   0 100   0   0   0| 323M 44.2M 1048M  589M|   0     0 
25-06 20:18:12|  0   0 100   0   0   0| 323M 44.2M 1048M  589M|   0     0 
25-06 20:18:13|  0   0  99   1   0   0| 323M 44.2M 1048M  589M|   0    76k
25-06 20:18:14|  0   0 100   0   0   0| 323M 44.2M 1048M  589M|   0     0 
25-06 20:18:15|  0   0 100   0   0   0| 323M 44.2M 1048M  589M|   0  8192B
25-06 20:18:16|  0   0 100   0   0   0| 323M 44.2M 1048M  589M|   0     0 
25-06 20:18:17|  0   0 100   0   0   0| 323M 44.2M 1048M  589M|   0     0 
25-06 20:18:18|  0   0 100   0   0   0| 323M 44.2M 1048M  589M|   0     0 
25-06 20:18:19|  0   0  99   1   0   0| 323M 44.2M 1048M  589M|   0    48k
25-06 20:18:20|  0   0  99   1   0   0| 323M 44.2M 1048M  589M|   0    72k
25-06 20:18:21|  0   0 100   1   0   0| 323M 44.2M 1048M  590M|   0    88k
25-06 20:18:22|  0   0 100   0   0   0| 323M 44.2M 1048M  590M|   0     0 
25-06 20:18:23|  0   0 100   0   0   0| 323M 44.2M 1048M  590M|   0     0 
25-06 20:18:24|  0   0 100   0   0   0| 323M 44.2M 1048M  590M|   0    88k
25-06 20:18:25|  0   0 100   0   0   0| 323M 44.2M 1048M  590M|   0     0 
25-06 20:18:26|  0   0 100   0   0   0| 323M 44.2M 1048M  590M|   0     0 
25-06 20:18:27|  0   0 100   0   0   0| 323M 44.2M 1048M  590M|   0     0 
25-06 20:18:28|  0   0 100   0   0   0| 323M 44.2M 1048M  590M|   0     0 
25-06 20:18:29|  0   0 100   0   0   0| 323M 44.2M 1048M  590M|   0     0 
25-06 20:18:30|  0   0 100   1   0   0| 323M 44.3M 1048M  590M|   0   120k
25-06 20:18:31|  0   0  99   1   0   0| 323M 44.3M 1048M  590M|   0    80k
25-06 20:18:32|  0   0 100   0   0   0| 323M 44.3M 1048M  590M|   0     0 
25-06 20:18:33|  0   0  99   1   0   0| 323M 44.3M 1048M  590M|   0    88k
25-06 20:18:34|  1   0  99   0   0   0| 323M 44.3M 1048M  590M|   0     0 
25-06 20:18:35|  0   0 100   0   0   0| 323M 44.3M 1048M  590M|   0     0 
25-06 20:18:36|  0   0 100   0   0   0| 323M 44.3M 1048M  590M|   0     0 
25-06 20:18:37|  0   0 100   0   0   0| 323M 44.3M 1048M  590M|   0     0 
25-06 20:18:38|  0   0 100   0   0   0| 323M 44.3M 1048M  590M|   0     0 
25-06 20:18:39|  0   0 100   0   0   0| 323M 44.3M 1048M  590M|   0    68k
25-06 20:18:40|  0   0 100   0   0   0| 323M 44.3M 1048M  590M|   0     0 
25-06 20:18:41|  0   0 100   0   0   0| 323M 44.3M 1048M  590M|   0     0 
25-06 20:18:42|  0   0 100   0   0   0| 323M 44.3M 1048M  590M|   0     0 
25-06 20:18:43|  2  11  87   0   0   0| 324M 44.3M 1048M  588M|   0     0 
25-06 20:18:44|  8  11  82   0   0   0| 325M 44.3M 1048M  588M|   0    12k
25-06 20:18:45|  2   4  94   0   0   0| 325M 44.3M 1048M  587M|   0     0 
25-06 20:18:46|  3   3  95   0   0   0| 325M 44.3M 1048M  587M|   0  4096B
25-06 20:18:47|  2   2  96   0   0   0| 325M 44.3M 1048M  587M|   0     0 
25-06 20:18:48|  1   0  99   0   0   0| 325M 44.3M 1048M  587M|   0     0 
25-06 20:18:49|  0   0 100   0   0   0| 326M 44.3M 1048M  587M|   0    12k
25-06 20:18:50|  1   0 100   0   0   0| 326M 44.3M 1048M  587M|   0     0 
25-06 20:18:51|  1   0 100   0   0   0| 326M 44.3M 1048M  587M|   0    72k
25-06 20:18:52|  0   0 100   0   0   0| 326M 44.3M 1048M  587M|   0     0 
25-06 20:18:53|  1   1  99   0   0   0| 325M 44.3M 1048M  587M|   0     0 
